,total_price,unit_price,pizza_size,pizza_ingredients,pizza_category,pizza_name_id,pizza_id,day_of_week,hour_of_day,day_of_month,quantity
0,13.25,13.25,1,23,1,27,1,5.0,11.0,1.0,1
1,16.0,16.0,1,20,1,18,2,5.0,11.0,1.0,1
2,18.5,18.5,0,17,3,20,3,5.0,11.0,1.0,1
3,20.75,20.75,0,4,2,32,4,5.0,11.0,1.0,1
4,16.0,16.0,1,31,3,42,5,5.0,11.0,1.0,1
5,20.75,20.75,0,8,0,80,6,5.0,11.0,1.0,1
6,16.5,16.5,1,4,2,33,7,5.0,12.0,1.0,1
7,20.75,20.75,0,21,2,56,8,5.0,12.0,1.0,1
8,16.5,16.5,1,4,2,33,9,5.0,12.0,1.0,1
9,16.5,16.5,1,4,2,33,10,5.0,12.0,1.0,1
10,12.75,12.75,2,2,0,2,11,5.0,12.0,1.0,1
11,12.0,12.0,2,15,1,85,12,5.0,12.0,1.0,1
12,12.5,12.5,2,29,2,79,13,5.0,12.0,1.0,1
13,12.5,12.5,2,29,2,79,14,5.0,12.0,1.0,1
14,12.0,12.0,2,20,1,19,15,5.0,12.0,1.0,1
15,12.0,12.0,2,28,3,25,16,5.0,12.0,1.0,1
16,20.5,20.5,0,5,1,29,17,5.0,12.0,1.0,1
17,20.75,20.75,0,4,2,32,18,5.0,12.0,1.0,1
18,12.5,12.5,2,4,2,34,19,5.0,12.0,1.0,1
19,12.0,12.0,2,31,3,43,20,5.0,12.0,1.0,1
20,20.75,20.75,0,6,2,68,21,5.0,12.0,1.0,1
21,20.75,20.75,0,26,3,71,22,5.0,12.0,1.0,1
22,12.0,12.0,2,18,3,90,23,5.0,12.0,1.0,1
23,20.25,20.25,0,31,3,41,24,5.0,13.0,1.0,1
24,20.75,20.75,0,10,0,65,25,5.0,13.0,1.0,1
25,20.75,20.75,0,2,0,0,26,5.0,13.0,1.0,1
26,20.75,20.75,0,7,0,8,27,5.0,13.0,1.0,1
27,16.75,16.75,1,7,0,9,28,5.0,13.0,1.0,1
28,15.25,15.25,0,16,1,50,29,5.0,13.0,1.0,1
29,20.75,20.75,0,7,0,8,30,5.0,13.0,1.0,1
30,12.75,12.75,2,7,0,10,31,5.0,13.0,1.0,1
31,20.75,20.75,0,11,0,14,32,5.0,13.0,1.0,1
32,16.5,16.5,1,4,2,33,33,5.0,13.0,1.0,1
33,20.25,20.25,0,31,3,41,34,5.0,13.0,1.0,1
34,12.0,12.0,2,15,1,85,35,5.0,13.0,1.0,1
35,12.0,12.0,2,1,1,3,36,5.0,13.0,1.0,1
36,18.5,18.5,0,17,3,3,37,5.0,13.0,1.0,1
37,20.75,20.75,0,24,2,3,38,5.0,13.0,1.0,1
38,12.0,12.0,2,15,1,3,39,5.0,13.0,1.0,1
39,17.95,17.95,0,22,3,3,40,5.0,13.0,1.0,1
40,12.0,12.0,2,30,1,3,41,5.0,13.0,1.0,1
41,20.75,20.75,0,8,0,3,42,5.0,13.0,1.0,1
42,20.75,20.75,0,2,0,0,43,5.0,13.0,1.0,1
43,16.25,16.25,1,0,2,6,44,5.0,13.0,1.0,1
44,18.5,18.5,0,17,3,20,45,5.0,13.0,1.0,1
45,14.75,14.75,1,22,3,22,46,5.0,13.0,1.0,1
46,16.5,16.5,1,4,2,33,47,5.0,13.0,1.0,1
47,12.75,12.75,2,13,3,37,48,5.0,13.0,1.0,1
48,32.0,16.0,1,25,3,39,49,5.0,13.0,1.0,2
49,20.25,20.25,0,31,3,41,50,5.0,13.0,1.0,1
50,12.5,12.5,2,14,2,55,51,5.0,13.0,1.0,1
51,20.25,20.25,0,27,3,74,52,5.0,13.0,1.0,1
52,20.5,20.5,0,30,1,44,53,5.0,13.0,1.0,1
53,20.5,20.5,0,5,1,29,54,5.0,13.0,1.0,1
54,20.25,20.25,0,12,2,59,55,5.0,13.0,1.0,1
55,12.0,12.0,2,1,1,3,56,5.0,14.0,1.0,1
56,18.5,18.5,0,17,3,20,57,5.0,14.0,1.0,1
57,20.5,20.5,0,5,1,29,58,5.0,14.0,1.0,1
58,18.5,18.5,0,17,3,20,59,5.0,14.0,1.0,1
59,16.0,16.0,1,5,1,30,60,5.0,14.0,1.0,1
60,20.75,20.75,0,10,0,65,61,5.0,14.0,1.0,1
61,12.75,12.75,2,10,0,67,62,5.0,14.0,1.0,1
62,16.75,16.75,1,2,0,1,63,5.0,14.0,1.0,1
63,16.0,16.0,1,5,1,30,64,5.0,14.0,1.0,1
64,12.5,12.5,1,16,1,51,65,5.0,14.0,1.0,1
65,12.5,12.5,2,21,2,58,66,5.0,14.0,1.0,1
66,16.25,16.25,1,12,2,60,67,5.0,14.0,1.0,1
67,20.75,20.75,0,8,0,80,68,5.0,14.0,1.0,1
68,12.0,12.0,2,20,1,19,69,5.0,14.0,1.0,1
69,20.25,20.25,0,18,3,88,70,5.0,14.0,1.0,1
70,20.75,20.75,0,2,0,0,71,5.0,15.0,1.0,1
71,16.0,16.0,1,20,1,18,72,5.0,15.0,1.0,1
72,20.25,20.25,0,27,3,74,73,5.0,15.0,1.0,1
73,12.75,12.75,2,9,0,13,74,5.0,15.0,1.0,1
74,12.0,12.0,2,28,3,25,75,5.0,15.0,1.0,1
75,20.75,20.75,0,8,0,80,76,5.0,15.0,1.0,1
76,16.0,16.0,1,31,3,42,77,5.0,15.0,1.0,1
77,9.75,9.75,2,16,1,52,78,5.0,15.0,1.0,1
78,12.0,12.0,2,1,1,3,79,5.0,15.0,1.0,1
79,20.25,20.25,0,28,3,23,80,5.0,15.0,1.0,1
80,20.5,20.5,0,5,1,29,81,5.0,15.0,1.0,1
81,16.5,16.5,1,4,2,33,82,5.0,15.0,1.0,1
82,20.75,20.75,0,2,0,0,83,5.0,15.0,1.0,1
83,12.0,12.0,2,28,3,25,84,5.0,15.0,1.0,1
84,12.0,12.0,2,15,1,85,85,5.0,16.0,1.0,1
85,16.0,16.0,1,28,3,24,86,5.0,16.0,1.0,1
86,17.5,17.5,0,19,1,47,87,5.0,16.0,1.0,1
87,12.5,12.5,1,16,1,51,88,5.0,16.0,1.0,1
88,20.75,20.75,0,8,0,80,89,5.0,16.0,1.0,1
89,16.75,16.75,1,2,0,1,90,5.0,16.0,1.0,1
90,16.0,16.0,1,20,1,18,91,5.0,16.0,1.0,1
91,20.75,20.75,0,4,2,32,92,5.0,16.0,1.0,1
92,20.25,20.25,0,31,3,41,93,5.0,16.0,1.0,1
93,10.5,10.5,2,23,1,28,94,5.0,17.0,1.0,1
94,20.5,20.5,0,5,1,29,95,5.0,17.0,1.0,1
95,20.75,20.75,0,4,2,32,96,5.0,17.0,1.0,1
96,17.95,17.95,0,22,3,21,97,5.0,17.0,1.0,1
97,12.75,12.75,2,10,0,67,98,5.0,17.0,1.0,1
98,14.75,14.75,1,22,3,22,99,5.0,17.0,1.0,1
99,12.0,12.0,2,28,3,25,100,5.0,17.0,1.0,1
100,12.0,12.0,2,1,1,3,101,5.0,17.0,1.0,1
101,18.5,18.5,0,17,3,20,102,5.0,17.0,1.0,1
102,20.25,20.25,0,31,3,41,103,5.0,17.0,1.0,1
103,16.5,16.5,1,14,2,54,104,5.0,17.0,1.0,1
104,16.75,16.75,1,9,0,12,105,5.0,17.0,1.0,1
105,16.5,16.5,1,4,2,33,106,5.0,17.0,1.0,1
106,20.75,20.75,0,14,2,53,107,5.0,17.0,1.0,1
107,12.5,12.5,2,26,3,73,108,5.0,17.0,1.0,1
108,17.95,17.95,0,22,3,21,109,5.0,17.0,1.0,1
109,10.5,10.5,2,23,1,28,110,5.0,17.0,1.0,1
110,16.75,16.75,1,8,0,81,111,5.0,17.0,1.0,1
111,20.75,20.75,0,11,0,14,112,5.0,18.0,1.0,1
112,20.5,20.5,0,20,1,17,113,5.0,18.0,1.0,1
113,16.75,16.75,1,8,0,81,114,5.0,18.0,1.0,1
114,20.75,20.75,0,10,0,65,115,5.0,18.0,1.0,1
115,12.0,12.0,2,18,3,90,116,5.0,18.0,1.0,1
116,16.75,16.75,1,11,0,15,117,5.0,18.0,1.0,1
117,12.0,12.0,2,28,3,25,118,5.0,18.0,1.0,1
118,20.75,20.75,0,21,2,56,119,5.0,18.0,1.0,1
119,20.75,20.75,0,6,2,68,120,5.0,18.0,1.0,1
120,20.25,20.25,0,12,2,59,121,5.0,18.0,1.0,1
121,25.5,25.5,3,15,1,86,122,5.0,18.0,1.0,1
122,20.75,20.75,0,2,0,0,123,5.0,18.0,1.0,1
123,17.5,17.5,0,19,1,47,124,5.0,18.0,1.0,1
124,16.5,16.5,0,23,1,26,125,5.0,18.0,1.0,1
125,20.25,20.25,0,31,3,41,126,5.0,18.0,1.0,1
126,20.75,20.75,0,6,2,68,127,5.0,18.0,1.0,1
127,11.0,11.0,2,19,1,49,128,5.0,18.0,1.0,1
128,16.5,16.5,1,29,2,78,129,5.0,18.0,1.0,1
129,16.5,16.5,1,21,2,57,130,5.0,19.0,1.0,1
130,20.75,20.75,0,8,0,80,131,5.0,19.0,1.0,1
131,12.5,12.5,2,14,2,55,132,5.0,19.0,1.0,1
132,20.75,20.75,0,6,2,68,133,5.0,19.0,1.0,1
133,16.0,16.0,1,20,1,18,134,5.0,19.0,1.0,1
134,20.25,20.25,0,25,3,38,135,5.0,19.0,1.0,1
135,16.75,16.75,1,10,0,66,136,5.0,19.0,1.0,1
136,16.0,16.0,1,20,1,18,137,5.0,19.0,1.0,1
137,18.5,18.5,0,17,3,20,138,5.0,19.0,1.0,1
138,12.5,12.5,1,16,1,51,139,5.0,19.0,1.0,1
139,12.75,12.75,2,13,3,37,140,5.0,19.0,1.0,1
140,11.0,11.0,2,19,1,49,141,5.0,19.0,1.0,1
141,15.25,15.25,0,16,1,50,142,5.0,19.0,1.0,1
142,20.75,20.75,0,11,0,14,143,5.0,20.0,1.0,1
143,14.75,14.75,1,22,3,22,144,5.0,20.0,1.0,1
144,16.75,16.75,1,2,0,1,145,5.0,20.0,1.0,1
145,20.75,20.75,0,4,2,32,146,5.0,20.0,1.0,1
146,16.75,16.75,1,2,0,1,147,5.0,20.0,1.0,1
147,16.5,16.5,1,29,2,78,148,5.0,20.0,1.0,1
148,14.5,14.5,1,19,1,48,149,5.0,20.0,1.0,1
149,12.0,12.0,2,1,1,3,150,5.0,20.0,1.0,1
150,11.0,11.0,2,19,1,49,151,5.0,21.0,1.0,1
151,12.25,12.25,2,12,2,61,152,5.0,21.0,1.0,1
152,12.5,12.5,2,6,2,70,153,5.0,21.0,1.0,1
153,16.5,16.5,1,29,2,78,154,5.0,21.0,1.0,1
154,16.0,16.0,1,20,1,18,155,5.0,21.0,1.0,1
155,16.0,16.0,1,5,1,30,156,5.0,21.0,1.0,1
156,20.75,20.75,0,10,0,65,157,5.0,22.0,1.0,1
157,16.0,16.0,1,20,1,18,158,5.0,22.0,1.0,1
158,20.75,20.75,0,4,2,32,159,5.0,22.0,1.0,1
159,16.5,16.5,1,4,2,33,160,5.0,22.0,1.0,1
160,20.75,20.75,0,2,0,0,161,5.0,22.0,1.0,1
161,12.75,12.75,2,13,3,37,162,1.0,11.0,1.0,1
162,20.75,20.75,0,24,2,62,163,1.0,11.0,1.0,1
163,20.75,20.75,0,8,0,80,164,1.0,11.0,1.0,1
164,20.25,20.25,0,27,3,74,165,1.0,11.0,1.0,1
165,12.75,12.75,2,8,0,82,166,1.0,11.0,1.0,1
166,18.5,18.5,0,17,3,20,167,1.0,12.0,1.0,1
167,20.25,20.25,0,31,3,41,168,1.0,12.0,1.0,1
168,12.5,12.5,2,26,3,73,169,1.0,12.0,1.0,1
169,20.75,20.75,0,29,2,77,170,1.0,12.0,1.0,1
170,12.5,12.5,2,4,2,34,171,1.0,12.0,1.0,1
171,20.25,20.25,0,25,3,38,172,1.0,12.0,1.0,1
172,20.5,20.5,0,30,1,44,173,1.0,12.0,1.0,1
173,12.0,12.0,2,1,1,3,174,1.0,12.0,1.0,1
174,16.5,16.5,0,23,1,26,175,1.0,12.0,1.0,1
175,21.0,21.0,0,13,3,35,176,1.0,12.0,1.0,1
176,20.75,20.75,0,6,2,68,177,1.0,12.0,1.0,1
177,16.75,16.75,1,2,0,1,178,1.0,12.0,1.0,1
178,13.25,13.25,1,23,1,27,179,1.0,12.0,1.0,1
179,12.0,12.0,2,1,1,3,180,1.0,12.0,1.0,1
180,12.0,12.0,2,20,1,19,181,1.0,12.0,1.0,1
181,17.95,17.95,0,22,3,21,182,1.0,12.0,1.0,1
182,16.0,16.0,1,5,1,30,183,1.0,12.0,1.0,1
183,62.25,20.75,0,6,2,68,184,1.0,12.0,1.0,3
184,12.75,12.75,2,8,0,82,185,1.0,12.0,1.0,1
185,20.5,20.5,0,5,1,29,186,1.0,12.0,1.0,1
186,11.0,11.0,2,19,1,49,187,1.0,12.0,1.0,1
187,20.75,20.75,0,8,0,80,188,1.0,12.0,1.0,1
188,9.75,9.75,2,16,1,52,189,1.0,12.0,1.0,1
189,16.75,16.75,1,8,0,81,190,1.0,12.0,1.0,1
190,20.75,20.75,0,8,0,80,191,1.0,12.0,1.0,1
191,12.0,12.0,2,1,1,3,192,1.0,12.0,1.0,1
192,16.75,16.75,1,7,0,9,193,1.0,12.0,1.0,1
193,20.75,20.75,0,6,2,68,194,1.0,12.0,1.0,1
194,16.0,16.0,1,18,3,89,195,1.0,12.0,1.0,1
195,12.75,12.75,2,10,0,67,196,1.0,12.0,1.0,1
196,15.25,15.25,0,16,1,50,197,1.0,13.0,1.0,1
197,16.0,16.0,1,20,1,18,198,1.0,13.0,1.0,1
198,12.0,12.0,2,20,1,19,199,1.0,13.0,1.0,1
199,20.75,20.75,0,4,2,32,200,1.0,13.0,1.0,1
200,16.0,16.0,1,15,1,84,201,1.0,13.0,1.0,1
201,16.5,16.5,0,23,1,26,202,1.0,13.0,1.0,1
202,16.0,16.0,1,5,1,30,203,1.0,14.0,1.0,1
203,16.0,16.0,1,31,3,42,204,1.0,14.0,1.0,1
204,20.75,20.75,0,29,2,77,205,1.0,14.0,1.0,1
